id,name,r,g,b
585,OT1,128,205,248
586,OT1-3,128,205,248
587,OT2,128,205,248
588,OT3,128,205,248
589,OV,255,85,71
590,P,255,155,136
591,P-mot,255,186,134
592,P-sat,255,195,149
593,P-sen,255,174,111
594,P5,255,186,134
595,PA,151,236,147
596,PAA,89,218,171
597,PAA1,89,218,171
598,PAA1-3,89,218,171
599,PAA2,89,218,171
600,PAA3,89,218,171
601,PAG,255,144,255
602,PAL,133,153,204
603,PALc,179,192,223
604,PALd,133,153,204
605,PALm,150,167,211
606,PALv,162,177,216
607,PAR,114,213,105
608,PAR1,114,213,105
609,PAR2,114,213,105
610,PAR3,114,213,105
611,PARN,255,179,217
612,PAS,255,179,217
613,PB,255,174,111
614,PBG,255,122,255
615,PBl,255,174,111
616,PBlc,255,174,111
617,PBld,255,174,111
618,PBle,255,174,111
619,PBls,255,174,111
620,PBlv,255,174,111
621,PBm,255,174,111
622,PBme,255,174,111
623,PBmm,255,174,111
624,PBmv,255,174,111
625,PC5,255,186,134
626,PCG,255,186,134
627,PCN,255,144,159
628,PD,255,85,71
629,PDTg,255,186,134
630,PERI,14,150,132
631,PERI1,14,150,132
632,PERI2/3,14,150,132
633,PERI5,14,150,132
634,PERI6a,14,150,132
635,PERI6b,14,150,132
636,PF,255,144,159
637,PFL,255,252,145
638,PFLgr,236,231,84
639,PFLmo,255,252,145
640,PFLpu,255,252,145
641,PG,255,186,134
642,PGRN,255,179,217
643,PGRNd,255,179,217
644,PGRNl,255,179,217
645,PH,255,76,62
646,PHY,255,179,217
647,PIL,255,144,159
648,PIN,255,144,159
649,PIR,106,203,186
650,PIR1,106,203,186
651,PIR1-3,106,203,186
652,PIR2,106,203,186
653,PIR3,106,203,186
654,PIS,204,204,204
655,PL,47,168,80
656,PL1,47,168,80
657,PL2,47,168,80
658,PL2/3,47,168,80
659,PL5,47,168,80
660,PL6a,47,168,80
661,PL6b,47,168,80
662,PMR,255,179,217
663,PMd,255,76,62
664,PMv,255,76,62
665,PN,255,144,255
666,PO,255,144,159
667,POL,255,144,159
668,POR,255,174,111
669,POST,72,200,60
670,POST1,72,200,60
671,POST2,72,200,60
672,POST3,72,200,60
673,PP,255,128,132
674,PPN,255,166,255
675,PPT,255,144,255
676,PPY,255,179,217
677,PPYd,255,179,217
678,PPYs,255,179,217
679,PR,255,144,159
680,PRC,255,144,255
681,PRE,89,185,71
682,PRE1,89,185,71
683,PRE2,89,185,71
684,PRE3,89,185,71
685,PRM,255,252,145
686,PRMgr,236,231,84
687,PRMmo,255,252,145
688,PRMpu,255,252,145
689,PRNc,255,186,134
690,PRNr,255,195,149
691,PRNv,255,186,134
692,PRP,255,179,217
693,PRT,255,144,255
694,PS,255,85,71
695,PSCH,255,85,71
696,PST,242,72,59
697,PSTN,242,72,59
698,PSV,255,174,111
699,PT,255,144,159
700,PTLp,0,159,172
701,PTLp1,0,159,172
702,PTLp2/3,0,159,172
703,PTLp4,0,159,172
704,PTLp5,0,159,172
705,PTLp6a,0,159,172
706,PTLp6b,0,159,172
707,PVH,255,93,80
708,PVHam,255,93,80
709,PVHap,255,93,80
710,PVHd,255,76,62
711,PVHdp,255,76,62
712,PVHf,255,76,62
713,PVHlp,255,76,62
714,PVHm,255,93,80
715,PVHmm,255,93,80
716,PVHmpd,255,93,80
717,PVHmpv,255,76,62
718,PVHp,255,93,80
719,PVHpm,255,93,80
720,PVHpml,255,93,80
721,PVHpmm,255,93,80
722,PVHpv,255,93,80
